STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
20,1005,1,G,1,1990-04-10,2.989,2.756,ACUB,12.0,1.0,5277.0,1673.0,0.3,0.0,0.0,47.5,7,6,7,13.0,24.0,1990,,,201005,144,14.4,1023.5,1971-09-01,KS
20,1005,1,G,1,1990-04-10,2.931,2.714,ACUB,12.0,1.0,5277.0,1673.0,0.3,0.0,0.0,47.5,7,6,7,13.0,24.0,1990,,,201005,144,14.4,1023.5,1971-09-01,KS
20,1005,1,G,1,1990-04-10,2.921,2.72,ACUB,12.0,1.0,5277.0,1673.0,0.3,0.0,0.0,47.5,7,6,7,13.0,24.0,1990,,,201005,144,14.4,1023.5,1971-09-01,KS
20,1005,1,G,1,1990-04-10,2.956,2.717,ACUB,12.0,1.0,5277.0,1673.0,0.3,0.0,0.0,47.5,7,6,7,13.0,24.0,1990,,,201005,144,14.4,1023.5,1971-09-01,KS
20,1005,1,G,1,1990-04-10,2.9,2.746,ACUB,12.0,1.0,5277.0,1673.0,0.3,0.0,0.0,47.5,7,6,7,13.0,24.0,1990,,,201005,144,14.4,1023.5,1971-09-01,KS
20,1005,1,G,1,1990-05-01,3.107,2.9,ACUB,12.0,1.0,5277.0,1673.0,0.3,0.0,0.0,47.5,7,6,7,13.0,24.0,1990,,,201005,144,14.4,1023.5,1971-09-01,KS
20,1005,1,G,1,1990-05-01,3.061,2.851,ACUB,12.0,1.0,5277.0,1673.0,0.3,0.0,0.0,47.5,7,6,7,13.0,24.0,1990,,,201005,144,14.4,1023.5,1971-09-01,KS
20,1005,1,G,1,1990-05-01,3.049,2.837,ACUB,12.0,1.0,5277.0,1673.0,0.3,0.0,0.0,47.5,7,6,7,13.0,24.0,1990,,,201005,144,14.4,1023.5,1971-09-01,KS
20,1005,1,G,1,1990-05-01,3.009,2.895,ACUB,12.0,1.0,5277.0,1673.0,0.3,0.0,0.0,47.5,7,6,7,13.0,24.0,1990,,,201005,144,14.4,1023.5,1971-09-01,KS
20,1005,1,G,1,1990-05-01,3.046,2.859,ACUB,12.0,1.0,5277.0,1673.0,0.3,0.0,0.0,47.5,7,6,7,13.0,24.0,1990,,,201005,144,14.4,1023.5,1971-09-01,KS
20,1005,1,G,1,1991-03-31,2.897,2.889,ACUB,7.0,0.0,4902.0,1369.0,0.0,0.0,0.0,554.8,7,6,7,13.0,24.0,1991,,,201005,171,14.7,624.0,1971-09-01,KS
20,1005,1,G,1,1991-03-31,2.93,2.868,ACUB,7.0,0.0,4902.0,1369.0,0.0,0.0,0.0,554.8,7,6,7,13.0,24.0,1991,,,201005,171,14.7,624.0,1971-09-01,KS
20,1005,1,G,1,1991-03-31,2.895,2.827,ACUB,7.0,0.0,4902.0,1369.0,0.0,0.0,0.0,554.8,7,6,7,13.0,24.0,1991,,,201005,171,14.7,624.0,1971-09-01,KS
20,1005,1,G,1,1991-03-31,2.926,2.779,ACUB,7.0,0.0,4902.0,1369.0,0.0,0.0,0.0,554.8,7,6,7,13.0,24.0,1991,,,201005,171,14.7,624.0,1971-09-01,KS
20,1005,1,G,1,1991-03-31,2.92,2.809,ACUB,7.0,0.0,4902.0,1369.0,0.0,0.0,0.0,554.8,7,6,7,13.0,24.0,1991,,,201005,171,14.7,624.0,1971-09-01,KS
20,1005,1,G,1,1992-05-09,2.921,2.886,ACUB,17.0,6.0,5540.0,866.0,0.0,0.1,0.0,0.0,5,4,5,13.0,24.0,1992,,16.0,201005,43,13.5,1152.0,1971-09-01,KS
20,1005,1,G,1,1992-05-09,3.041,2.905,ACUB,17.0,6.0,5540.0,866.0,0.0,0.1,0.0,0.0,5,4,5,13.0,24.0,1992,,16.0,201005,43,13.5,1152.0,1971-09-01,KS
20,1005,1,G,1,1992-05-09,2.908,2.936,ACUB,17.0,6.0,5540.0,866.0,0.0,0.1,0.0,0.0,5,4,5,13.0,24.0,1992,,16.0,201005,43,13.5,1152.0,1971-09-01,KS
20,1005,1,G,1,1992-05-09,2.912,2.91,ACUB,17.0,6.0,5540.0,866.0,0.0,0.1,0.0,0.0,5,4,5,13.0,24.0,1992,,16.0,201005,43,13.5,1152.0,1971-09-01,KS
20,1005,1,G,1,1992-05-09,2.988,2.927,ACUB,17.0,6.0,5540.0,866.0,0.0,0.1,0.0,0.0,5,4,5,13.0,24.0,1992,,16.0,201005,43,13.5,1152.0,1971-09-01,KS
20,1005,1,G,1,1993-03-09,2.973,2.781,ACUB,17.0,6.0,5540.0,866.0,0.0,0.1,0.0,0.0,6,6,6,13.0,24.0,1993,,18.0,201005,209,12.7,1342.2,1971-09-01,KS
20,1005,1,G,1,1993-03-09,2.972,2.852,ACUB,17.0,6.0,5540.0,866.0,0.0,0.1,0.0,0.0,6,6,6,13.0,24.0,1993,,18.0,201005,209,12.7,1342.2,1971-09-01,KS
20,1005,1,G,1,1993-03-09,2.921,2.929,ACUB,17.0,6.0,5540.0,866.0,0.0,0.1,0.0,0.0,6,6,6,13.0,24.0,1993,,18.0,201005,209,12.7,1342.2,1971-09-01,KS
20,1005,1,G,1,1993-03-09,2.995,2.88,ACUB,17.0,6.0,5540.0,866.0,0.0,0.1,0.0,0.0,6,6,6,13.0,24.0,1993,,18.0,201005,209,12.7,1342.2,1971-09-01,KS
20,1005,1,G,1,1993-03-09,2.987,2.821,ACUB,17.0,6.0,5540.0,866.0,0.0,0.1,0.0,0.0,6,6,6,13.0,24.0,1993,,18.0,201005,209,12.7,1342.2,1971-09-01,KS
20,1005,1,G,1,1994-05-15,2.971,2.708,ACUB,,,,,,,,,,,,13.0,24.0,1994,,32.0,201005,180,13.8,951.2,1971-09-01,KS
20,1005,1,G,1,1994-05-15,2.953,2.696,ACUB,,,,,,,,,,,,13.0,24.0,1994,,32.0,201005,180,13.8,951.2,1971-09-01,KS
20,1005,1,G,1,1994-05-15,2.923,2.739,ACUB,,,,,,,,,,,,13.0,24.0,1994,,32.0,201005,180,13.8,951.2,1971-09-01,KS
20,1005,1,G,1,1994-05-15,2.924,2.739,ACUB,,,,,,,,,,,,13.0,24.0,1994,,32.0,201005,180,13.8,951.2,1971-09-01,KS
20,1005,1,G,1,1994-05-15,2.95,2.729,ACUB,,,,,,,,,,,,13.0,24.0,1994,,32.0,201005,180,13.8,951.2,1971-09-01,KS
20,1005,2,G,1,1995-03-01,3.082,2.85,ACUB,,,,,,,,,,,,13.0,,1995,,,201005,191,13.4,937.3,,KS
20,1005,2,G,1,1995-03-01,3.039,2.86,ACUB,,,,,,,,,,,,13.0,,1995,,,201005,191,13.4,937.3,,KS
20,1005,2,G,1,1995-03-01,3.073,2.883,ACUB,,,,,,,,,,,,13.0,,1995,,,201005,191,13.4,937.3,,KS
20,1005,2,G,1,1995-03-01,3.053,2.875,ACUB,,,,,,,,,,,,13.0,,1995,,,201005,191,13.4,937.3,,KS
20,1005,2,G,1,1995-03-01,3.044,2.878,ACUB,,,,,,,,,,,,13.0,,1995,,,201005,191,13.4,937.3,,KS
20,1005,2,G,1,1996-04-24,2.916,2.969,ACUB,,,,,,,,,5,5,5,13.0,,1996,,,201005,303,12.7,1114.6,,KS
20,1005,2,G,1,1996-04-24,3.003,2.974,ACUB,,,,,,,,,5,5,5,13.0,,1996,,,201005,303,12.7,1114.6,,KS
20,1005,2,G,1,1996-04-24,3.004,2.861,ACUB,,,,,,,,,5,5,5,13.0,,1996,,,201005,303,12.7,1114.6,,KS
20,1005,2,G,1,1996-04-24,2.973,2.93,ACUB,,,,,,,,,5,5,5,13.0,,1996,,,201005,303,12.7,1114.6,,KS
20,1005,2,G,1,1996-04-24,2.976,2.875,ACUB,,,,,,,,,5,5,5,13.0,,1996,,,201005,303,12.7,1114.6,,KS
20,1005,2,G,1,1997-02-20,3.049,3.237,ACUB,,,,,,,,,5,5,5,13.0,,1997,,,201005,185,13.3,1111.4,,KS
20,1005,2,G,1,1997-02-20,3.139,3.252,ACUB,,,,,,,,,5,5,5,13.0,,1997,,,201005,185,13.3,1111.4,,KS
20,1005,2,G,1,1997-02-20,3.077,3.241,ACUB,,,,,,,,,5,5,5,13.0,,1997,,,201005,185,13.3,1111.4,,KS
20,1005,2,G,1,1997-02-20,3.048,3.242,ACUB,,,,,,,,,5,5,5,13.0,,1997,,,201005,185,13.3,1111.4,,KS
20,1005,2,G,1,1997-02-20,3.073,3.28,ACUB,,,,,,,,,5,5,5,13.0,,1997,,,201005,185,13.3,1111.4,,KS
20,1005,2,G,1,1998-04-21,3.244,3.184,ACUB,35.0,29.0,0.0,0.0,0.1,0.0,0.0,0.0,6,6,5,13.0,,1998,,,201005,132,14.9,1233.2,,KS
20,1005,2,G,1,1998-04-21,3.55,3.327,ACUB,35.0,29.0,0.0,0.0,0.1,0.0,0.0,0.0,6,6,5,13.0,,1998,,,201005,132,14.9,1233.2,,KS
20,1005,2,G,1,1998-04-21,3.465,3.353,ACUB,35.0,29.0,0.0,0.0,0.1,0.0,0.0,0.0,6,6,5,13.0,,1998,,,201005,132,14.9,1233.2,,KS
20,1005,2,G,1,1998-04-21,3.571,3.333,ACUB,35.0,29.0,0.0,0.0,0.1,0.0,0.0,0.0,6,6,5,13.0,,1998,,,201005,132,14.9,1233.2,,KS
20,1005,2,G,1,1998-04-21,3.325,3.341,ACUB,35.0,29.0,0.0,0.0,0.1,0.0,0.0,0.0,6,6,5,13.0,,1998,,,201005,132,14.9,1233.2,,KS
20,1005,2,G,1,1999-03-24,3.472,3.31,ACUB,35.0,29.0,0.0,0.0,0.1,0.0,0.0,0.0,6,6,5,13.0,,1999,,,201005,99,14.5,1065.8,,KS
20,1005,2,G,1,1999-03-24,3.534,3.283,ACUB,35.0,29.0,0.0,0.0,0.1,0.0,0.0,0.0,6,6,5,13.0,,1999,,,201005,99,14.5,1065.8,,KS
20,1005,2,G,1,1999-03-24,3.481,3.192,ACUB,35.0,29.0,0.0,0.0,0.1,0.0,0.0,0.0,6,6,5,13.0,,1999,,,201005,99,14.5,1065.8,,KS
20,1005,2,G,1,1999-03-24,3.549,3.423,ACUB,35.0,29.0,0.0,0.0,0.1,0.0,0.0,0.0,6,6,5,13.0,,1999,,,201005,99,14.5,1065.8,,KS
20,1005,2,G,1,1999-03-24,3.486,3.349,ACUB,35.0,29.0,0.0,0.0,0.1,0.0,0.0,0.0,6,6,5,13.0,,1999,,,201005,99,14.5,1065.8,,KS
20,1005,2,G,1,2000-02-13,3.523,3.351,ACUB,,,,,,,,,5,5,5,13.0,,2000,,,201005,258,14.3,696.7,,KS
20,1005,2,G,1,2000-02-13,3.643,3.416,ACUB,,,,,,,,,5,5,5,13.0,,2000,,,201005,258,14.3,696.7,,KS
20,1005,2,G,1,2000-02-13,3.469,3.352,ACUB,,,,,,,,,5,5,5,13.0,,2000,,,201005,258,14.3,696.7,,KS
20,1005,2,G,1,2000-02-13,3.613,3.322,ACUB,,,,,,,,,5,5,5,13.0,,2000,,,201005,258,14.3,696.7,,KS
20,1005,2,G,1,2000-02-13,3.402,3.391,ACUB,,,,,,,,,5,5,5,13.0,,2000,,,201005,258,14.3,696.7,,KS
20,1009,1,G,1,1995-02-19,2.054,1.944,ACUB,4.0,1.0,1393.0,457.0,0.0,0.0,0.0,0.0,7,7,6,11.1,23.0,1995,,38.0,201009,176,13.7,765.0,1985-01-01,KS
20,1009,1,G,1,1995-02-19,2.043,2.028,ACUB,4.0,1.0,1393.0,457.0,0.0,0.0,0.0,0.0,7,7,6,11.1,23.0,1995,,38.0,201009,176,13.7,765.0,1985-01-01,KS
20,1009,1,G,1,1990-04-13,1.972,1.78,ACUB,,,,,,,,,8,8,6,11.1,23.0,1990,,,201009,155,14.8,747.2,1985-01-01,KS
20,1009,1,G,1,1990-04-13,1.992,1.736,ACUB,,,,,,,,,8,8,6,11.1,23.0,1990,,,201009,155,14.8,747.2,1985-01-01,KS
20,1009,1,G,1,1990-04-13,1.962,1.799,ACUB,,,,,,,,,8,8,6,11.1,23.0,1990,,,201009,155,14.8,747.2,1985-01-01,KS
20,1009,1,G,1,1990-04-13,2.007,1.861,ACUB,,,,,,,,,8,8,6,11.1,23.0,1990,,,201009,155,14.8,747.2,1985-01-01,KS
20,1009,1,G,1,1990-04-13,2.016,1.85,ACUB,,,,,,,,,8,8,6,11.1,23.0,1990,,,201009,155,14.8,747.2,1985-01-01,KS
20,1009,1,G,1,1991-04-03,2.005,1.914,ACUB,,,,,,,,,8,8,6,11.1,23.0,1991,,,201009,137,14.8,432.1,1985-01-01,KS
20,1009,1,G,1,1991-04-03,2.008,1.933,ACUB,,,,,,,,,8,8,6,11.1,23.0,1991,,,201009,137,14.8,432.1,1985-01-01,KS
20,1009,1,G,1,1991-04-03,2.019,1.894,ACUB,,,,,,,,,8,8,6,11.1,23.0,1991,,,201009,137,14.8,432.1,1985-01-01,KS
20,1009,1,G,1,1991-04-03,1.998,1.899,ACUB,,,,,,,,,8,8,6,11.1,23.0,1991,,,201009,137,14.8,432.1,1985-01-01,KS
20,1009,1,G,1,1991-04-03,1.999,1.914,ACUB,,,,,,,,,8,8,6,11.1,23.0,1991,,,201009,137,14.8,432.1,1985-01-01,KS
20,1009,1,G,1,1992-04-18,1.995,1.991,ACUB,,,,,,,,,6,5,6,11.1,23.0,1992,,,201009,76,13.8,804.7,1985-01-01,KS
